STT,A00,A01,B00,C00,C01,D01,D07
1,6.85,6.9,5.95,7.85,7.4,6.45,5.9
2,8.1,8.0,7.05,9.6,9.0,7.75,6.85
3,8.8,8.7,7.75,10.6,9.95,8.7,7.55
4,9.3,9.3,8.2,11.2,10.55,9.35,8.1
5,9.75,9.55,8.65,11.8,11.05,9.7,8.4
6,10.15,10.1,9.0,12.35,11.6,10.35,8.9
7,10.3,10.2,9.2,12.8,11.95,10.6,8.95
8,10.75,10.5,9.6,13.0,12.25,10.75,9.25
9,10.95,10.85,9.8,13.2,12.35,11.1,9.7
10,11.15,10.95,10.05,13.75,12.7,11.35,9.8
11,11.5,11.25,10.3,13.95,13.0,11.5,10.0
12,11.7,11.6,10.55,14.3,13.35,12.1,10.45
13,11.9,11.7,10.75,14.5,13.45,12.1,10.55
14,12.2,11.95,10.95,14.7,13.7,12.2,10.7
15,12.35,12.0,11.2,14.95,14.0,12.5,10.85
16,12.55,12.45,11.3,15.25,14.2,12.85,11.2
17,12.7,12.45,11.55,15.25,14.2,12.85,11.35
18,12.95,12.7,11.7,15.7,14.7,13.2,11.45
19,13.0,12.75,11.75,15.9,14.75,13.25,11.5
20,13.2,12.85,11.95,16.0,14.85,13.25,11.6
21,13.4,13.2,12.15,16.0,14.95,13.6,12.05
22,13.6,13.35,12.3,16.2,15.1,13.6,12.1
23,13.75,13.5,12.5,16.65,15.5,14.0,12.25
24,13.85,13.5,12.6,16.75,15.5,14.0,12.35
25,13.95,13.6,12.7,16.75,15.6,14.0,12.35
26,14.35,13.85,12.95,16.95,15.85,14.1,12.6
27,14.35,14.1,13.05,17.05,15.85,14.35,12.85
28,14.45,14.2,13.2,17.5,16.2,14.7,12.95
29,14.6,14.25,13.35,17.5,16.25,14.75,13.1
30,14.8,14.35,13.5,17.6,16.35,14.75,13.2
31,15.0,14.5,13.6,17.7,16.5,14.75,13.25
32,15.1,14.6,13.7,18.0,16.6,14.85,13.35
33,15.1,14.85,13.85,18.0,16.6,15.1,13.6
34,15.35,15.0,14.1,18.1,16.75,15.25,13.85
35,15.6,15.1,14.25,18.45,17.1,15.5,14.0
36,15.75,15.25,14.35,18.6,17.25,15.5,14.0
37,15.75,15.25,14.35,18.75,17.25,15.5,14.0
38,15.85,15.35,14.45,18.75,17.35,15.6,14.1
39,15.95,15.6,14.7,18.85,17.35,15.85,14.45
40,16.25,15.75,15.0,18.95,17.5,16.0,14.75
41,16.35,15.85,15.0,19.35,17.85,16.25,14.75
42,16.5,16.0,15.1,19.5,18.0,16.25,14.75
43,16.5,16.0,15.1,19.5,18.0,16.25,14.75
44,16.7,16.1,15.4,19.6,18.1,16.35,14.95
45,16.85,16.1,15.6,19.6,18.1,16.35,15.1
46,17.1,16.6,15.75,19.85,18.35,16.75,15.5
47,17.25,16.75,15.75,20.0,18.5,16.75,15.5
48,17.25,16.75,15.85,20.0,18.5,16.75,15.5
49,17.35,16.75,15.95,20.1,18.5,16.75,15.6
50,17.6,16.85,16.35,20.35,18.85,17.1,15.85
51,17.6,16.85,16.35,20.6,18.85,17.1,15.85
52,17.85,17.1,16.5,20.75,19.1,17.25,16.0
53,18.0,17.5,16.5,20.75,19.25,17.5,16.25
54,18.1,17.5,16.7,20.85,19.25,17.5,16.35
55,18.25,17.5,16.85,20.85,19.25,17.5,16.5
56,18.35,17.6,17.1,21.1,19.5,17.6,16.6
57,18.5,17.75,17.25,21.25,19.5,17.75,16.75
58,18.6,17.85,17.25,21.5,19.85,18.0,17.25
59,19.0,18.0,17.6,21.6,20.0,18.0,17.35
60,19.0,18.25,17.6,21.6,20.0,18.25,17.25
61,19.1,18.35,17.85,21.75,20.1,18.35,17.35
62,19.1,18.35,17.85,22.0,20.1,18.35,17.35
63,19.5,18.5,18.25,22.0,20.25,18.5,17.75
64,19.6,18.6,18.25,22.1,20.35,18.5,17.75
65,19.75,18.75,18.35,22.25,20.5,18.5,17.75
66,19.75,19.0,18.5,22.25,20.5,18.75,18.0
67,20.1,19.1,18.85,22.6,20.85,19.1,18.35
68,20.25,19.25,19.0,22.75,21.0,19.25,18.5
69,20.25,19.25,19.0,22.85,21.0,19.25,18.5
70,20.5,19.5,19.1,23.0,21.25,19.25,18.5
71,20.75,19.5,19.5,23.0,21.25,19.25,18.75
72,21.0,20.0,19.75,23.1,21.5,19.75,19.25
73,21.0,20.0,19.75,23.25,21.5,19.75,19.25
74,21.0,20.0,19.75,23.75,21.75,20.0,19.25
75,21.35,20.1,20.1,23.75,21.85,20.0,19.5
76,21.6,20.35,20.35,23.75,22.1,20.1,19.6
77,21.75,20.75,20.5,23.75,22.25,20.5,20.0
78,22.0,20.75,20.75,24.1,22.25,20.5,20.25
79,22.0,20.75,20.85,24.1,22.5,20.5,20.25
80,22.35,21.1,21.25,24.25,22.6,20.75,20.5
81,22.5,21.25,21.25,24.25,22.75,20.75,20.5
82,22.75,21.5,21.5,24.85,23.0,21.25,21.0
83,22.85,21.6,21.7,25.0,23.1,21.35,21.1
84,23.0,21.75,22.0,25.0,23.25,21.5,21.25
85,23.5,22.0,22.25,25.0,23.5,21.5,21.5
86,23.75,22.5,22.5,25.25,23.75,22.0,22.0
87,23.75,22.5,22.75,25.25,23.75,22.0,22.0
88,24.0,22.5,23.0,25.75,24.0,22.25,22.5
89,24.5,23.25,23.25,25.75,24.5,22.75,22.75
90,24.5,23.25,23.5,26.0,24.5,22.75,22.75
91,25.0,23.5,24.0,26.25,24.75,23.0,23.25
92,25.5,23.75,24.0,26.75,25.25,23.5,23.75
93,25.5,24.25,24.5,26.75,25.5,23.75,23.75
94,25.75,24.5,24.75,27.0,25.5,24.0,24.25
95,26.0,24.75,25.25,27.0,25.75,24.25,24.5
96,26.75,25.5,25.75,27.25,26.25,24.75,25.25
97,27.0,26.0,26.25,27.75,26.75,25.5,25.75
98,27.5,26.5,27.0,28.0,27.0,26.0,26.5
99,28.0,27.25,27.25,28.25,27.5,26.5,27.0
100,28.75,28.25,28.25,29.0,28.25,27.5,28.0
